Product ID,Description,Description,Purchase Unit,Unit Rate,Base Unit,Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
FD106082,ASUTRALIAN MOZZARELLA CESSE 2.5 KG (44655),ASUTRALIAN MOZZARELLA CESSE 2.5 KG (44655),KG,฿1.00,KG,฿315.00,,,,A,7,,
FS304061,BALSAMIC VINEGAR 5 L. (12501),BALSAMIC VINEGAR 5 L. (12501),GAL,฿1.00,GAL,฿650.00,,,,A,7,,
FD106093,BRIE CHEESE CANTOREL 1 KG. (MSCF7313),BRIE CHEESE CANTOREL 1 KG. (MSCF7313),KG,฿1.00,KG,฿750.00,,,,A,7,,
FS304060,CAPERS IN VINEGAR 1 KG. (7EU004),CAPERS IN VINEGAR 1 KG. (7EU004),BTL,฿1.00,BTL,฿350.00,,,,A,7,,
FD105425,CAVIAR GERMAN TROUT ROE 100 G. (50103),CAVIAR GERMAN TROUT ROE 100 G. (50103),PCS,฿1.00,PCS,฿495.00,,,,A,7,,
FD100047,CHEDDAR CHEESE ORANGE(BLOCK) 2.50 KG  /PCS,CHEDDAR CHEESE ORANGE(BLOCK) 2.50 KG  /PCS,KG,฿1.00,KG,฿425.00,,,,A,7,,
FD104089,CHORIZO 1.5-1.8 KG.,CHORIZO 1.5-1.8 KG.,KG,฿1.00,KG,฿660.00,,,,A,7,,
FD106098,COMTE CHEESE RIVOIRE 12M 1 KG. (59017),COMTE CHEESE RIVOIRE 12M 1 KG. (59017),KG,฿1.00,KG,"฿1,095.00",,,,A,7,,
FD125116,CORIANDER POWDER  500 G.,CORIANDER POWDER  500 G.,BAG,฿1.00,BAG,฿120.00,,,,A,7,,
FS300023,DIJON MUSTARD 1 KG. (PC001),DIJON MUSTARD 1 KG. (PC001),PCS,฿1.00,PCS,฿235.00,,,,A,7,,
FD106066,DUCK LIVER TERRINE (6WA29),DUCK LIVER TERRINE (6WA29),KG,฿1.00,KG,"฿3,990.00",,,,A,7,,
FD106016,EDAM BALL 2 KG. (9040802),EDAM BALL 2 KG. (9040802),KG,฿1.00,KG,฿410.00,,,,A,7,,
FD106017,EMMENTAL VALMARTIM 3 KG. (44ENT),EMMENTAL VALMARTIM 3 KG. (44ENT),KG,฿1.00,KG,฿595.00,,,,A,7,,
FS301022,EXTRA VIRGIN OLIVE OIL FROM SPAIN 5 L. (6VR002),EXTRA VIRGIN OLIVE OIL FROM SPAIN 5 L. (6VR002),GAL,฿1.00,GAL,"฿1,395.00",,,,A,7,,
FS315422,FLOUR PIZZA ROSSA MIMOSA W290-320/25KG.,FLOUR PIZZA ROSSA MIMOSA W290-320(41001),SACK,฿1.00,SACK,"฿1,320.00",,,,A,7,,
FS304010,GHERKINS IN VINEGAR FRENCH STYLE 4 KG. (44VE33),GHERKINS IN VINEGAR FRENCH STYLE 4 KG. (44VE33),CAN,฿1.00,CAN,฿695.00,,,,A,7,,
FD106038,GOUDA CHESS BLOCK 3 KG. (6UH004),GOUDA CHESS BLOCK 3 KG. (6UH004),KG,฿1.00,KG,฿365.00,,,,A,7,,
FD106020,GOUDA WHEEL 4-5 KG. (9040801),GOUDA WHEEL 4-5 KG. (9040801),KG,฿1.00,KG,฿425.00,,,,A,7,,
FS304044,IMPORT ANCHOVY FILLET PIECES IN OIL 720 G. (58070),IMPORT ANCHOVY FILLET PIECES IN OIL 720 G. (58070),BTL,฿1.00,BTL,฿685.00,,,,A,7,,
FD106030,MOZZARELLA FOR PIZZA HAPPY VALLEY 2.5 KG. (44655),MOZZARELLA FOR PIZZA HAPPY VALLEY 2.5 KG. (44655),KG,฿1.00,KG,฿315.00,,,,A,7,,
FS300207,MUSTARD SEEDS 500G. (6IP465038),MUSTARD SEEDS 500G. (6IP465038),BAG,฿1.00,BAG,฿200.00,,,,A,7,,
FD106051,NORMANDY ALL PURPOSE CREAM 35% 1 L. (32005),NORMANDY ALL PURPOSE CREAM 35% 1 L. (32005),BOX,฿1.00,BOX,฿260.00,,,,A,7,,
FD106010,ORANGE CHEDDAR CHEESE (84 SLICES),ORANGE CHEDDAR CHEESE (84 SLICES),PACK,฿1.00,PACK,฿345.00,,,,A,7,,
FD106096,ORANGE CHEDDAR CHEESE 2.5 KG. (37123),ORANGE CHEDDAR CHEESE 2.5 KG. (37123),KG,฿1.00,KG,฿425.00,,,,A,7,,
FD106090,PARMESAN CHEESE ITALIAN (58050),PARMESAN CHEESE ITALIAN (58050),KG,฿1.00,KG,฿620.00,,,,A,7,,
FS304030,PEELED TOMATOES TERRA MARIS 2.5 KG. (44C23),PEELED TOMATOES TERRA MARIS 2.5 KG. (44C23),CAN,฿1.00,CAN,฿235.00,,,,A,7,,
FS304064,PITTED GREEN OLIVES 4 KG (58023A),PITTED GREEN OLIVES 4 KG (58023A),CAN,฿1.00,CAN,฿545.00,,,,A,7,,
FD104062,PROSCIUTTO CRUDO DEBONED 5 KG. (58025),PROSCIUTTO CRUDO DEBONED 5 KG. (58025),KG,฿1.00,KG,฿895.00,,,,A,7,,
FD106097,REBLOCHON 0.5 KG. (9321),REBLOCHON 0.5 KG. (9321),KG,฿1.00,KG,"฿1,295.00",,,,A,7,,
FD104024,SAUSAGE SLOANE'S BRATWURST 1 KG. (27207),SAUSAGE SLOANE'S BRATWURST 1 KG. (27207),KG,฿1.00,KG,฿435.00,,,,A,7,,
FD104025,SAUSAGE SLOANE'S CUMBERLAND 1 KG. (27201),SAUSAGE SLOANE'S CUMBERLAND 1 KG. (27201),KG,฿1.00,KG,฿435.00,,,,A,7,,
FD104046,SAUSAGE SLOANE'S ITALIAN PICANTE 1 KG. (27219),SAUSAGE SLOANE'S ITALIAN PICANTE 1 KG. (27219),KG,฿1.00,KG,฿435.00,,,,A,7,,
FD104098,SLOANE'S CHORIZO FRESCO 1 KG. (27205),SLOANE'S CHORIZO FRESCO 1 KG. (27205),KG,฿1.00,KG,฿520.00,,,,A,7,,
FS307019,ORGANIC WHITE QUINOA 1 KG. (44R10091),ข้าวครินัวออร์แกนิคขาว 1 กก. (44R10091),KG,฿1.00,KG,฿150.00,,,,N,0,,
FS307020,ORGANIC RED QUINOA 1 KG. (44R10092),ข้าวครินัวออร์แกนิคแดง 1 กก. (44R10092),KG,฿1.00,KG,฿160.00,,,,N,0,,
FD108102,GINGER POWER 500 G. (895409),ขิงผง  500 G. (895409),BAG,฿1.00,BAG,฿160.00,,,,A,7,,
FD104093,COOKED HAM/KG,คุกแฮม 4*4 A/กิโลกรัม,KG,฿1.00,KG,฿425.00,,,,A,7,,
FD125069,GARAM MASALA 500 G.,เครื่องเทศรวม 500 ก.,BAG,฿1.00,BAG,฿370.00,,,,N,0,,
FD106053,CHEDDAR CHEESE 84 SLICE WHITE ( 1 KG/PACK ),เชดด้าชีส 84 สไลด์ สีขาว ( แพ็คละ 1 กก.),PACK,฿1.00,PACK,฿355.00,,,,A,7,,
FD104048,SALAMI MILANO (C003),ซาลามี่ มิลาโน่ (C003),KG,฿1.00,KG,฿660.00,,,,A,7,,
FD102006,LAMP RACK 7 RIB 75 MM.( NZ ),ซี่โครงแกะ 7 ซี่ 75 มม.นิวซีแลนด์,KG,฿1.00,KG,"฿1,495.00",,,,A,7,,
FD125070,CHICK PEA  500 G. (862283),ถั่วลูกไก่ขาว 500 ก. (862283),BAG,฿1.00,BAG,฿145.00,,,,A,7,,
FS301021,EXTRA VIRGIN OLIVE OIL (COPPINI) ITALY 5 L.,น้ำมันมะกอก EXTRA VIRGIN (COPPINI) ITALY 5 L.,GAL,฿1.00,GAL,"฿1,240.00",,,,A,7,,
FS301004,OLIVE OIL SABROSO EXTRA VIRGIN 5L. (44C02),น้ำมันมะกอก ซาโบรโซ่เอ๊กตร้าเวอร์จิน 5 ล. (44C02),GAL,฿1.00,GAL,"฿1,240.00",,,,A,7,,
FS305008,VINEGAR BALSAMIC VENTURI  5 L.,น้ำส้มสายชู BALSAMIC VENTURI  5 L.,BTL,฿1.00,BTL,฿650.00,,,,A,7,,
FS305013,WHITE WINE VINEGAR AGED  1 L. (12605),น้ำส้มสายชูไวน์ขาว 1 ลิตร. (12605),BTL,฿1.00,BTL,฿185.00,,,,A,7,,
FS305009,RED WINE VINEGAR AGED  1 L. (12602),น้ำส้มสายชูไวน์แดง 1 ลิตร. (12602),BTL,฿1.00,BTL,฿185.00,,,,A,7,,
FD105077,TUNA SAKU AAA (1DT004),เนื้อทูน่าสากุเกรด เอเอเอ (1DT004),KG,฿1.00,KG,฿775.00,,,,A,7,,
FD105072,COD LOIN FILLET,เนื้อปลาคอตแล่,KG,฿1.00,KG,฿725.00,,,,A,7,,
FD105041,SMOKED SALMON SILCE,เนื้อปลาแซลมอนรมควันสไลด์,KG,฿1.00,KG,฿855.00,,,,A,7,,
FD105073,TUNA LOINS FROZEN AA,เนื้อปลาทูน่าแช่แข็ง AA,KG,฿1.00,KG,฿640.00,,,,A,7,,
FD105067,JUMBO LUMP CARB MEAT 454 G. (6SC003),เนื้อปูก้อนจัมโบ้กระป๋อง 454ก. (6SC003),CAN,฿1.00,CAN,"฿1,265.00",,,,A,7,,
FS304051,CRAB MEAT WHITE BODY MEAT FINERPIECES454G.(6SC001),เนื้อปูย่อยชิ้นเล็กในกระป๋อง 454 ก. (6SC001),CAN,฿1.00,CAN,฿495.00,,,,A,7,,
FD100039,RIBEYE AUS EBONY CHOICE 5-8 KG.,เนื้อริบอายออสสเตรเลีย 5-8 กก,KG,฿1.00,KG,"฿1,095.00",,,,A,7,,
FD100016,BEEF TENDERLION AUS,เนื้อสันในออสเตรเลีย,KG,฿1.00,KG,"฿1,450.00",,,,A,7,,
FD105306,SCALLOP MEAT -US 20-30 PCS / KG,เนื้อหอยเชลล์ ( US ) 20-30 PCS / KG.,KG,฿1.00,KG,"฿1,350.00",,,,A,7,,
FD106021,BURRTA COW 100 G.  (54110),บลูราต้าชีส มอสน้ำ 100 ก. (54110),PACK,฿1.00,PACK,฿84.00,,,,A,7,,
FS304047,ANCHOVIES IN OIL  720 G.,ปลาร้ากระป๋อง  720 กรัม,CAN,฿1.00,CAN,฿685.00,,,,A,7,,
FD104056,PARIS HAM 2 KG,ปารีสแฮม 2 KG,KG,฿1.00,KG,฿560.00,,,,A,7,,
FD104057,PEPPERONI,เปปเปอร์โรนี่,KG,฿1.00,KG,฿670.00,,,,A,7,,
FS308027,PAPRIKA POWDER 500G.(462023033),ผงปาปริก้า500กรัม(462023033),BAG,฿1.00,BAG,฿220.00,,,,N,0,,
FD125107,CUMIN POWDER 500 G/BAG,ผงยี่หร่า 500 กรัม/ถุง,BAG,฿1.00,BAG,฿245.00,,,,N,0,,
FD107223,FROZE MIX BERRY ARO 1 KG. (826024),ผลไม้รวมเบอร์รี่แช่แข็ง เอโร่ 1 กก. (826024),KG,฿1.00,KG,฿225.00,,,,A,7,,
FD112002,CORN CHIPS REGULAR-UNSALTED (200 G./PACK),แผ่นข้าวโพดกรอบ-จืด 200 ก.,PACK,฿1.00,PACK,฿90.00,,,,A,7,,
FD111171,"TORTILLAS 8"" (1x10 PCS) (110045)","แผ่นตอติญ่า 8"" (1x10 ชิ้น) (110045)",PACK,฿1.00,PACK,฿97.00,,,,A,7,,
FD107042,"FLOUR TORTILLAS 6""",แผ่นติติญ่า 6 นิ้ว,PACK,฿1.00,PACK,฿86.00,,,,A,7,,
FD107009,"FROZEN FLOUR TORTILLAS 8"" 250 G.",แผ่นปอเปี๊ยะแป้งตอติญ่า 8 นิ้ว - 24 PCS 250 G.,PACK,฿1.00,PACK,฿97.00,,,,A,7,,
FD106039,PARMESAN CHEESE BLOCK 2.3 KG.,พาร์มีซานชีส แท่ง 2.3 กก.,KG,฿1.00,KG,฿650.00,,,,A,7,,
FD106060,PARMESAN CHEESE ITALIAN BLOCK 2 กก.,พาร์มีซานชีส อิตาลี แท่ง 2 กก.,KG,฿1.00,KG,฿620.00,,,,A,7,,
FD106061,MOZZARELLA CHEESE IN WATER (1*8 PCS),มอซซาเรลล่าชีสในน้ำ (1*8 PCS),PACK,฿1.00,PACK,฿595.00,,,,A,7,,
FD104074,MORTADELLA 3-3.2 KG.,มอลตาเดล่า แท่ง 3-3.2 กก.,KG,฿1.00,KG,฿285.00,,,,A,7,,
FD106080,MOZZARELLA KOYLUM 2.5 KG. ,มอสซาเรลล่าแบบขูด ตราคอยลัม 2.5 กก. ,BAG,฿1.00,BAG,฿345.00,,,,A,7,,
FS304035,PITTED GREEN OLIVE 4 KG. (58023A),มะกอกเขียวไม่มีเมล็ด 4 กก. (58023A),CAN,฿1.00,CAN,฿545.00,,,,A,7,,
FS304063,PITTED BLACK OLIVES 4KG(58023B),มะกอกดองดำในเกลือ 4กก.(58023B),CAN,฿1.00,CAN,฿525.00,,,,A,7,,
FS304045,OLIVES BLACK PITTED 4 KG. (58023B),มะกอกดำไม่มีเมล็ดขนาด 4 กก. (58023B),CAN,฿1.00,CAN,฿525.00,,,,A,7,,
FS304048,PITTED BLACK OLIVES CRESPO 4.3 KG. (142421),มะกอกดำไม่มีเมล็ดในน้ำเกลือ คริสโป 4.3 กก (142421),CAN,฿1.00,CAN,฿525.00,,,,A,7,,
FD108095,CORIANDER POWDER 1 KG. (165857),เม็ดผักชีป่น 1 กก. (165857),KG,฿1.00,KG,฿120.00,,,,N,0,,
FS300042,MUSTARD SEEDS 500 G. (6IP465038),เม็ดมัสตาร์ด 500 ก. (6IP465038),BAG,฿1.00,BAG,฿200.00,,,,N,0,,
FD108092,CUMIN SEEDS 500 G.,เมล็ดยี่หร่า 500 ก.,BAG,฿1.00,BAG,฿220.00,,,,N,0,,
FS315102,YEAST DRIED INSTANT BRUGGEMAN BLUE 500 G. (163404),ยีสต์ รสจืด บรักกี้มาน สีฟ้า 500 กรัม. (163404),BLOCK,฿1.00,BLOCK,฿139.00,,,,A,7,,
FD108100,CUMIN POWDER 500 G. (4620131000),ยี่หร่าผง 500 ก. (4620131000),BAG,฿1.00,BAG,฿245.00,,,,N,0,,
FD100008,BEEF RIB EYE ( AUS )MB2-3SHORT RIB,ริบอาย ออสเตรเลีย,KG,฿1.00,KG,"฿1,095.00",,,,A,7,,
FS310003,LASAGUE AGNESI  500 G. (129548),ลาซานญา แอคเนซี 500 ก. (129548),BAG,฿1.00,BAG,฿125.00,,,,A,7,,
FD111102,CARDAMON 200 G. (175496),ลูกกระวานเทศ 200 ก. (175496),BAG,฿1.00,BAG,฿595.00,,,,N,0,,
FD106049,WHIPPING CREAM  MILLAC GOLD,วิปปิ้งครีม มิลล์แลกโก 1 ลิตร,BOX,฿1.00,BOX,฿165.00,,,,A,7,,
FD107015,FROZEN WILD STRAWBERRY  ARO 1 KG (125456),สตรอเบอรี่แช่แข็ง เอโร่ 1 กก. (125456),KG,฿1.00,KG,฿125.00,,,,A,7,,
FD103025,SMOKED DUCK BREAST 1 กก.,อกเป็ดรมควัน 1 กก.,KG,฿1.00,KG,฿630.00,,,,A,7,,
FD111092,ALMOND SLICE ARO 1 KG. (818275),อัลมอนด์สไลซ์ เอโร่ 1 กก. (818275),BAG,฿1.00,BAG,฿325.00,,,,A,7,,
FD106042,EDAM CHEESE BLOCK 2.8-3.2 KG.,อีดัมชีสบล็อก 2.8-3.2 กก.,KG,฿1.00,KG,฿375.00,,,,A,7,,
FD114013,APRICOTS DRIED 1 KG.,แอพริคอตแห้ง 1 กก.,KG,฿1.00,KG,฿560.00,,,,A,7,,
FD104068,HONEY HAM 2.6-3 KG/PCS,ฮันนี่ แฮม 2.6-3 กก./ชิ้น,KG,฿1.00,KG,฿605.00,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
,,,,,,,,,,A,7,,
