รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน,ราคาเสนอ,ส่วนลด %,ส่วนลด,ประเภทภาษี,อัตราภาษี,รหัสสินค้าผู้ขาย,หมายเหตุ
'15090008,SALT PHUNG TIP  0.5KG.(1x6)/(106960),เกลือปรุงทิพย์  0.5 กก.(1x6)/(106960),BAG,,,9.35,,,A,7,,
'15080051,JASMINE WINNER 2OZ.,สารแต่งกลิ่น-กลิ่นมะลิตราวินเนอร์ 2OZ.,BTL,,,23.36,,,A,7,,
'14000001,COOKING AND BAKERIES CARNATION 450ก.(1x3)/(24388),นมข้นจืดสำหรับทำอาหารคาร์เนชั่น 450ก.(1x3)/(24388),CAN,,,27.10,,,A,7,,
'15050004,FLOUR TAPIOCA JADE LEAF 1 KG.(170111),แป้งมันสำปะหลัง ใบหยก 1 กก.(170111),KG,,,28.04,,,A,7,,
'15080002,BAKING SODA MCGARRETT 300G.(184247),เบคกิ้งโซดา แม็กกาแรต 300ก.(184247),BAG,,,28.04,,,A,7,,
'15050003,FLOUR RICE ERAWAN 1KG.(183877),แป้งข้าวเจ้า ช้างสามเศียร 1 กก.(183877),KG,,,30.84,,,A,7,,
'14030013,FILLING VANILLA FLAVOR YOU YEE 900 G. (507641),ฟีลลิ่งกลิ่นวานิลายูยี  900ก.(507641),BAG,,,32.71,,,A,7,,
'15050026,แป้งกวนไส้ ตราดาว 500 กรัม. (847900),แป้งกวนไส้ ตราดาว 500ก.(847900),BAG,,,35.51,,,A,7,,
'15080010,POWDER PEARL AA MERMAID 50G.(1x2)/(859017),ผงวุ้นซองสีเขียว ตรานางเงือก 50ก.(1x2)/(859017),PCS,,,37.38,,,A,7,,
'15090010,น้ำเชื่อมมิตรผล 800ก.,น้ำเชื่อมมิตรผล 800ก.,BAG,,,37.38,,,A,7,,
'14030006,FILLING BLUEBERRY BESTFOOD 900G.(1x9)/(183452),ฟิลลิ่งบลูเบอรี่เบสท์ฟู๊ดส์ 900ก.(1x9)/(183452),BAG,,,42.06,,,A,7,,
'14030007,FILLING ORANGE BESTFOOD 900G. (1*9)/(195761),ฟิลลิ่งส้มเบสท์ฟู๊ดส์ 900ก.(1*9)(195761),BAG,,,42.06,,,A,7,,
'14030008,FILLING STRAWBERRY BESTFOOD 900G. (1x9)/(183443),ฟิลลิ่งสตรอเบอร์รี่เบสท์ฟู้ด 900ก.(1x9)(183443),BAG,,,42.06,,,A,7,,
'15020006,DRY PINEAPPLE,สัปปะรดอบแห้ง,KG,,,420.56,,,A,7,,
'15020007,DRY KIWI,กีวี่อบแห้ง,KG,,,420.56,,,A,7,,
'15050022,FLOUR STICKY RICE 1KG.,แป้งข้าวเหนียว ช้างสามเศียร 1 กก.,KG,,,42.06,,,A,7,,
'15090018,ICING SUGAR LIN 900 G. (202995),น้ำตาลไอซ์ซิ่งลิน 900ก.(202995),BAG,,,42.06,,,A,7,,
'15050024,FLOUR WHEAT UFM RED LOTUS 1 KG. (1x10) (184651),แป้งเค้ก ตราบัวแดง 1 กก.(1x10)/(184651),KG,,,42.99,,,A,7,,
'15010136,MANDARIN ORANGES WHOLE SEGMENT DOLE 425G.,ส้มแมนดารีนโดล 425ก.,CAN,,,44.86,,,A,7,,
'15020005,DRY MANGO,มะม่วงอบแห้ง,KG,,,514.02,,,A,7,,
'15080068,แอมโมเนียมไบคาร์บอเนต 1 กก.,แอมโมเนียมไบคาร์บอเนต 1 กก.,KG,,,51.40,,,A,7,,
'15090001,BROWN SUGAR GROUND (เฉาก๊วย) 1KG.,น้ำตาลทรายแดงละเอียดมิตรผล(เฉาก๊วย) 1 กก.,BAG,,,56.07,,,A,7,,
'26010013,SYRUP CONCENTRATED-HULBLUEBOY SA-LA 710ML.,ไซรับเข้มข้น-กลิ่นสละสีแดงเฮลซ์บลูบอย 710 มล.,BTL,,,58.88,,,A,7,,
'26010035,SYRUP CONCENTRATED-CREAM SODA HELBLUEBOY 710 ML.,น้ำหวานเข้มข้น-กลิ่นครีมโซดาเฮลซ์บลูบอย 710มล.,BTL,,,58.88,,,A,7,,
'15120004,COCONUT CREAM A-ROI-DEE 1L.(1x2)/(171607),น้ำกะทิ อร่อยดี 1ล.(1x2)/(171607),BOX,,,64.49,,,A,7,,
'15080075,สีเจลผสมอาหาร สีม่วง วินเนอร์ 30 มล.,สีเจลผสมอาหาร-สีม่วงวินเนอร์ 30 มล.,BTL,,,70.09,,,A,7,,
'15090013,DONUT SUGAR (DYNASTY) 1KG.,น้ำตาลโดนัท(ไดนาสตี้) 1 กก.,KG,,,70.09,,,A,7,,
'26010019,JUICE CONCENTRATED-MANGO SQUASH DING FONG 760ML.(823948),น้ำผลไม้เข้มข้น-มะม่วงสควอชติ่งฟง 760มล.(823948),BTL,,,74.77,,,A,7,,
'26010020,JUICE CONCENTRATED-PASSION SQUASH DING FONG 760ML.(210515),น้ำผลไม้เข้มข้น-เสาวรสสควอชติ่งฟง 760มล.(210515),BTL,,,74.77,,,A,7,,
'26010021,JUICE CONCENTRATED-PINEAPPLE SQUASH DING FONG 760ML.(210516),น้ำผลไม้เข้มข้น-สับปะรดสควอชติ่งฟง 760มล.(210516),BTL,,,74.77,,,A,7,,
'26010030,JUICE CONCENTRATED-LYCHEE SQUASH 750ML.,น้ำผลไม้เข้มข้น-ลิ้นจี่สควอซ 750มล.,BTL,,,74.77,,,A,7,,
'15000028,TEA POWDER LOCAL 400 G. (155655),ชาตรามือฉลากแดง 400ก.(155655),BAG,,,79.44,,,A,7,,
'15080001,BAKING SODA MCGARRETT 1KG.(830864),เบคกิ้งโซดา แม็กกาแรต 1 กก.(830864),BAG,,,84.11,,,A,7,,
'15080031,COLOUR FOOD ORANGE WINNER 16 OZ.,สีผสมอาหาร-สีส้มวินเนอร์ 16OZ.,BTL,,,88.79,,,A,7,,
'15080033,COLOUR FOOD RED WINNER 454ML.,สีผสมอาหาร-สีแดงสดวินเนอร์  454ML.,BTL,,,88.79,,,A,7,,
'15080034,COLOUR FOOD YELLOW  WINNER 16OZ.,สีผสมอาหาร-สีเหลืองวินเนอร์ 16OZ.,BTL,,,88.79,,,A,7,,
'15050025,FLOUR WHOLE WHEAT IMPERIAL 1KG.(156559),แป้งสาลีโฮลวีทแบบหยาบ อิมพิเรียล 1 กก.(156559),BAG,,,93.46,,,A,7,,
'14010015,MARGARINE BLUE BAND BEST FOODS 1KG.(866196),มาร์การีน-บลูแบนด์เบสฟู้ดส์ 1 กก.(866196),BAG,,,112.15,,,A,7,,
'14010024,BUTTER WHITE OPCREAM 1 KG.(177832),เนยขาวโอลิมปิคครีมโอพีครีม 1 กก.(177832),BAG,,,112.15,,,A,7,,
'15080014,BAKING POWDER BEST FOOD 1KG.(204345),ผงฟู เบสท์ฟูดส์ 1 กก.(204345),BAG,,,126.17,,,A,7,,
'26010012,SYRUP CONCENTRATED-POMEGRANATE LONGBEAC 740ML.(821305),ไซรัปเข้มข้น-กลิ่นทับทิมลองบีช 740 มล.(821305),BTL,,,130.84,,,A,7,,
'26010017,SYRUP BANANA FLAVOURED LONGBEACH 740 ML.,ไซรัปเข้มข้น-กลิ่นกล้วยลองบีช 740 มล.,BTL,,,130.84,,,A,7,,
'26010032,SYRUP CONCENTRATED-LYCHEE LONGBEACH 740ML.(810413),ไซรัปเข้มข้น-กลิ่นลิ้นจี่ลองบีช 740มล.(810413),BTL,,,130.84,,,A,7,,
'15080029,COCOA POWDER TULIP 500 G. (844709),ผงโกโก้สีเข้ม ทิวลิป 500ก.(844709),BAG,,,135.51,,,A,7,,
'26010011,SYRUP CONCENTRATED-VANILLA LONGBEACH 740 ML.(810423),ไซรัปเข้มข้น-กลิ่นวานิลลาลองบีช 740มล.(810423),BTL,,,140.19,,,A,7,,
'15080016,BREAD PROVER KS505 IMPERIAL 1KG.,สารเสริม KS505 อิมพีเรียล 1 กก.,BAG,,,144.86,,,A,7,,
'15080072,สารเสริม SP UFM 1 KG.,สารเสริม SP UFM 1 KG.,KG,,,144.86,,,A,7,,
'26010001,SYRUP CONCENTRATED-CARAMEL LONGBEAC 740 ML.(810422),ไซรัปเข้มข้น-กลิ่นคาราเมลลองบีช 740มล.(810422),BTL,,,144.86,,,A,7,,
'14030004,WHIPPING CREAM  MILLAC GOLD,วิปปิ้งครีมมิลล์แลกโก 1 ลิตร,BOX,,,149.53,,,A,7,,
'15080070,สารแต่งกลิ่น-กลิ่นนมเนยครีมวินเนอร์ 454ก.,สารแต่งกลิ่น-กลิ่นนมเนยครีมวินเนอร์ 454ก.,BTL,,,149.53,,,A,7,,
'15080071,สารแต่งกลิ่น-กลิ่นวนิลาวินเนอร์ 454ก.,สารแต่งกลิ่น-กลิ่นวนิลาวินเนอร์ 454ก.,BTL,,,149.53,,,A,7,,
'14030014,WHIPPING  CREAM HI-ROAD 1L.,วิปปิ้งครีมนอนแดรี่ ไฮโรด 1 ลิตร,BOX,,,163.55,,,A,7,,
'14030009,GLACE PICOT IMPERIAL 1KG.,กลาเซ่พีคอทเจลอิมพีเรียล 1 กก.,BAG,,,172.90,,,A,7,,
'15080011,VANILLA POWDER BEST ODOUR 500G.(182902),วนิลาผง เบสท์โอเดอร์ 500ก.(182902),BAG,,,177.57,,,A,7,,
'15090028,SUGAR SPRINKLES CIRCLE MIXED SIZE SILVER COLOR100G,น้ำตาลตกแต่งเค้ก-เม็ดสีเงินเงาคละขนาด 100ก.,PCS,,,182.24,,,A,7,,
'15010170,WHOLE ALMOND SEED ARO 500 G. (184330),อัลมอนด์เม็ดเอโร่ 500ก.(184330),BAG,,,186.92,,,A,7,,
'15000019,GREEN TEA MATCHA KAWAMI KOICHA 100G.,ผงชาเขียวคาวามิโคอิฉะ 100ก.,BAG,,,191.59,,,A,7,,
'15000023,MATCHA GREEN TEA PODER KAWAMI 100G.,ผงชาเขียวมัทฉะคาวามิ 100ก.,BAG,,,191.59,,,A,7,,
'14020016,CHEESE CREAM ANCHOR 1KG.(142554),ครีมชีสแองคอร์ 1 กก.(142554),KG,,,205.61,,,A,7,,
'15000018,TEA ENGLISH BREAKFAST TEA TWININGS 2G.(1x25/BOX.),TEA ENGLISH BREAKFAST TEA TWININGS 2G.(1x25/BOX),BOX,,,205.61,,,A,7,,
'15000015,TEA EARL GREY BLACK TWININGS 2G. (1x25/BOX),ชาเอิร์ลเกรย์ทไวนิงส์ 2ก.(1x25/กล่อง),BOX,,,210.28,,,A,7,,
'15080009,POWDER COCOA DUTCH 380/400G.(137874),ผงโกโก้ดัทช์ 380/400ก.(137874),CAN,,,242.99,,,A,7,,
'14020003,CHEESE MASCARPONE TATUA 500G.(848996),มาสคาร์โพนชีสตาตัว 500ก.(848996),PACK,,,261.68,,,A,7,,
'14030015,WHIPPING CREAM ELL&VIRE 1L.,WHIPPING CREAM ELL&VIRE 1L.,BOX,,,275.70,,,A,7,,
'15080049,GELATIN POWDER MCGARRETT 500G. (830863),ผงเจลาติน แม็กกาแรต 500ก.(830863),BAG,,,327.10,,,A,7,,
'15080019,CACAO BARRY WHITE CHOC ZEHYR 34% PISTLO 500 G.,CACAO BARRY WHITE CHOC ZEHYR 34% PISTLO 500G.,BAG,,,378.50,,,A,7,,
'15080028,COCOA POWDER PLEIN AROME BARRY #2 1 KG.,ผงโกโก้แบรี่ #2 1 กก.,KG,,,514.02,,,A,7,,
'15080015,BARRY COCOA POWDER EXTRA BRUTE 1KG.,BARRY COCOA POWDER EXTRA BRUTE 1KG.,KG,,,607.48,,,A,7,,
'15050016,FLOUR KITE ALL PURPOSE 22.5KG. (184692),แป้งสาลี ตราว่าว 22.5 กก.(184692),SACK,,,654.21,,,A,7,,
'15050009,FLOUR BREAD 22.5 KG.(184696),แป้งทำขนมปัง หงษ์ขาว 22.5กก.(184696),SACK,,,719.63,,,A,7,,
'14020017,CHEESE CREAM PHILADELPHIA 2 KG. (15093),ครีมชีสฟิลาเดเฟีย 2 กก.(15093),PACK,,,738.32,,,A,7,,
'15050010,FLOUR BUA DAENG 22.5 KG.(184666),แป้งบัวแดง 22.5 กก.(184666),SACK,,,850.47,,,A,7,,
'15050011,FLOUR CAKE 22.5 KG./ SACK (184671),แป้งเค้กพัดโบก  22.5 KG./กระสอบ(184671),SACK,,,925.23,,,A,7,,
'14010009,BUTTER UNSALTED COMPOUND ALLOWRIE 5KG.(65650),เนยจืดอลาวรี่คอมพาวด์บัตเตอร์ 5กก.(65650),BOX,,,948.60,,,A,7,,
'14010011,BUTTER COOKING ALLOWRIE UN-SALT 5 KG.,เนยจืดอลาวรี่ 5 กก./แท่ง,BOX,,,1056.07,,,A,7,,
'14010007,BUTTER BLEND PROFESSIONALL ORCHID 5KG.(15730),เนยเค็มบัตเตอร์เบลนด์ออร์คิด 5กก.(15730),BOX,,,1261.68,,,A,7,,
'15050023,FLOUR WHEAT T55 (25 KG/SACK),แป้งสาลีอเนกประสงค์ T55 (25 กก/กระสอบ),SACK,,,1570.09,,,A,7,,
'15050012,FLOUR CAMPAILLETTE DES CHAMPS T65 25KG.,แป้งสาลีฝรั่งเศส T65 25กก./กระสอบ,SACK,,,1682.24,,,A,7,,
'15050020,FLOUR SEIGLE T170 MOUL-BIE 25 KG.,แป้งไรย์ฝรั่งเศส T170 25 กก.,SACK,,,1682.24,,,A,7,,
'15080041,DARK CHOCOLATE COCAO BERRY 58%  5KG./BAG,ดาร์กช็อกโกแลต 58% ยี่ห้อ COCAO BERRY 5กก./ถุง,BAG,,,2242.99,,,A,7,,
'15050017,FLOUR PAIN COMPLET MOUL-BIE WHOLEMEAL 25 KG.,แป้งโฮลวีทฝรั่งเศสบดละเอียด 25 กก.,SACK,,,2710.28,,,A,7,,
'15080039,DARK CHOCOLATE 70% COCAO BERRY 5KG.,DARK CHOCOLATE 70% COCAO BERRY 5KG.,BAG,,,3177.57,,,A,7,,
