SKU#,Description,Local Description,Unit,Qty From,QtyTo, Quote Price ,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'10020013,MIXED OFFAL CHICKEN,เครื่องในไก่,KG,,, 25.00 ,,,,N,0,,,,,,,
11000038,ปลาทูนึ่งทั้งตัวขนาด(10-12 ตัว/กก.)3 ตัว/แพ็ค ตราวรา(174471) : ,ปลาทูนึ่งทั้งตัวขนาด(10-12 ตัว/กก.)3 ตัว/แพ็ค ตราวรา(174471),Pack,,, 45.00 ,,,,N,0,,,,,,,
'10050003,BALLS FISH SHEET 500G.,ลูกชิ้นปลาแผ่น 500 กรัม,PACK,,, 48.00 ,,,,N,0,,,,,,,
'11040005,OYSTER LOCAL,หอยนางรมไทยใหญ่,PCS,,, 50.00 ,,,,N,0,,,,,,,
'10020019,CHICKEN BLOOD(ก้อน),เลือดไก่(ก้อน),KG,,, 60.00 ,,,,N,0,,,,,,,
'10020002,CHICKEN BLOOD,เลือดไก่,KG,,, 60.00 ,,,,N,0,,,,,,,
'11040006,SWEET CLAM ( LOCAL ),หอยหวานไทย,KG,,, 63.00 ,,,,N,0,,,,,,,
'11040001,หอยตลับใหญ่,หอยตลับใหญ่,KG,,, 63.00 ,,,,N,0,,,,,,,
'11000030,เนื้อปลากรายบด 500 กรัม. (134603),เนื้อปลากรายบด 500ก.(134603),PACK,,, 70.00 ,,,,N,0,,,,,,,
'11000022,SABA FISH (108009),ปลาซาบะ(108009),KG,,, 72.00 ,,,,N,0,,,,,,,
'10050039,FISH MEAT BALL,ลูกชิ้นปลากลมธรรมดา,KG,,, 74.00 ,,,,N,0,,,,,,,
'10050041,LOUK CHIN PLA,ลูกชิ้นปลากลม,PACK,,, 74.00 ,,,,N,0,,,,,,,
'10050006,CHICKEN MEAT BALL,ลูกชิ้นไก่,KG,,, 75.00 ,,,,N,0,,,,,,,
'10020023,CHICKEN WHOLE,ไก่ตัว,KG,,, 75.00 ,,,,N,0,,,,,,,
'10020020,CHICKEN BREAST WITH SKIN SLICE,อกไก่ติดหนังสไลด์,KG,,, 78.00 ,,,,N,0,,,,,,,
'10020016,CHICKEN BREAST WITH SKIN 2KG.,อกไก่ติดหนัง 2 กก.,KG,,, 78.00 ,,,,N,0,,,,,,,
'11000017,FISH EGG,ไข่ปลา,KG,,, 78.00 ,,,,N,0,,,,,,,
'10020022,CHICKEN CUTED,ไก่สับชิ้น(ทอด),KG,,, 78.00 ,,,,N,0,,,,,,,
'10020001,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,, 78.00 ,,,,N,0,,,,,,,
'11040003,MUSSEL,หอยแมลงภู่,KG,,, 80.00 ,,,,N,0,,,,,,,
'10050027,BALL FISH SMALL,ลูกชิ้นปลากลมเล็ก(ลูกชิ้นปลาบัวลอย),KG,,, 80.00 ,,,,N,0,,,,,,,
'10010021,กระดูกเล้งหมู สับ,กระดูกเล้งหมู(สับ),KG,,, 80.00 ,,,,N,0,,,,,,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,, 85.00 ,,,,N,0,,,,,,,
'10050030,CHICKEN 'S TENDON BALLS,ลูกชิ้นเอ็นไก่,KG,,, 85.00 ,,,,N,0,,,,,,,
'10020008,CHICKEN MEAT GROUND,ไก่บด,KG,,, 85.00 ,,,,N,0,,,,,,,
'10050023,KANIKAMAOKO 500G./PACK,ปูอัด 500G./แพ็ค,PACK,,, 90.00 ,,,,N,0,,,,,,,
'11000020,KIM SURE FISH FILLET,เนื้อปลากิมซั่วแล่,KG,,, 90.00 ,,,,N,0,,,,,,,
'11000025,TAMA FISH,ปลาตะมะ(สับรวมหัว),KG,,, 95.00 ,,,,N,0,,,,,,,
'11000009,TAJONG FISH(HEAD CUT),ปลาตาจง(ตัดหัว),KG,,, 100.00 ,,,,N,0,,,,,,,
'11000005,PLA DAENG FISH (HEAD CUT),ปลากล้วยแดง(ตัดหัว),KG,,, 100.00 ,,,,N,0,,,,,,,
'10020007,CHICKEN LRG,ตีนไก่(ตีนไก่ตัดเล็บ),KG,,, 100.00 ,,,,N,0,,,,,,,
'10020012,CHICKEN WINGS,ปีกไก่เต็ม,KG,,, 102.00 ,,,,N,0,,,,,,,
'11000002,CAT FISH FRESH,ปลาดุกตัว,KG,,, 105.00 ,,,,N,0,,,,,,,
'11000027,TUNA FISH ( THAI ) ( HEAD CUT ),ปลาลัง(ตัดหัว),KG,,, 110.00 ,,,,N,0,,,,,,,
'11000006,PLA TU (HEAD CUT),ปลาทูลัง(ตัดหัว),KG,,, 110.00 ,,,,N,0,,,,,,,
'10020009,CHICKEN TOP ROUND  WITH OUT BONE&SKIN,สะโพกไก่ลอกหนังเลาะกระดูก,KG,,, 112.00 ,,,,N,0,,,,,,,
'11000026,Tama Fish Cut  No Head,ปลาตะมะ(หั่นไม่หัว),KG,,, 115.00 ,,,,N,0,,,,,,,
'10010018,PORK LEG,ขาหมู (ขาหลัง),KG,,, 115.00 ,,,,N,0,,,,,,,
'10010023,ขาหมู (ขาหน้า),ขาหมู (ขาหน้า),KG,,, 115.00 ,,,,N,0,,,,,,,
17080002,FROZEN SQUID SLICE(PINEAPPLE) ,หมึกกล้วยหั่นบั้งสับปะรด แช่แข็ง,KG,,, 125.00 ,,,,N,0,,,,,,,
'11000003,CAT FISH FRESH SLICED,ปลาดุกหั่นเนื้อล้วน,KG,,, 130.00 ,,,,N,0,,,,,,,
'11020005,FROZEN SQUID ( NOODLE ),หมึกกรอบแช่(สำหรับทำเย็นตาโฟ),KG,,, 133.00 ,,,,N,0,,,,,,,
'11020004,JELLY FISH 1KG.(237450),แมงกะพรุน 1 กก.(237450),KG,,, 133.00 ,,,,N,0,,,,,,,
'11000012,SEA BASS 700-800G.,ปลากระพงขาว 700-800 ก.,KG,,, 135.00 ,,,,N,0,,,,,,,
'11000015,BARACUDA FISH MEAT GROUND,เนื้อปลาสากบด,KG,,, 135.00 ,,,,N,0,,,,,,,
'11000014,เนื้อปลากรายบด,เนื้อปลากรายบด,KG,,, 135.00 ,,,,N,0,,,,,,,
11040012,หอยลายไทย(สด)ไซด์ 80-90 ตัว/กก.,หอยลายไทย(สด)ไซด์ 80-90 ตัว/กก.,Kg,,, 145.00 ,,,,N,0,,,,,,,
'11040007,UNDULATED SURF CLAM MEAT,เนื้อหอยลาย,KG,,, 145.00 ,,,,N,0,,,,,,,
11000039,ปลากระพงขาวใหญ่ 2-3 กก./ตัว,ปลากระพงขาวใหญ่ 2-3 กก./ตัว,Kg,,, 150.00 ,,,,N,0,,,,,,,
'11000018,FISH HEAD IS CHOPPED,หัวปลามง(สับ),KG,,, 160.00 ,,,,N,0,,,,,,,
'11000023,SAND FISH 15-18 PCS/KG.,ปลายทราย 15-18 ตัว/กก.,KG,,, 160.00 ,,,,N,0,,,,,,,
'11000024,SEA BASS SIZE 700-800G.(803572),ปลากระพงขาวแบบทำ 700-800ก.(803572),KG,,, 160.00 ,,,,N,0,,,,,,,
'10010008,PORK MINCED A,หมูบดเกรด A,KG,,, 165.00 ,,,,N,0,,,,,,,
'10010019,PORK LOIN,หมูสันนอก,KG,,, 172.00 ,,,,N,0,,,,,,,
'11000007,ROASTED FISH,ปลาย่าง,KG,,, 175.00 ,,,,N,0,,,,,,,
'10050037,FISH BALL - LAMTONG,ลูกชิ้นปลากล้วยญี่ปุ่น,KG,,, 178.00 ,,,,N,0,,,,,,,
'10050026,BALL FISH,ลูกชิ้นปลากล้วย,KG,,, 178.00 ,,,,N,0,,,,,,,
'10010005,PORK HIP SLICED,หมูเนื้อแดงหั่น,KG,,, 182.00 ,,,,N,0,,,,,,,
'11040004,MUSSEL MEAT WITH STEAM,เนื้อหอยแมลงภู่ลวก,KG,,, 190.00 ,,,,N,0,,,,,,,
'10010026,หมูสามชั้นหั่นเส้นยาว,หมูสามชั้นหั่นเส้นยาว,KG,,, 200.00 ,,,,N,0,,,,,,,
'10010025,หมูสามชั่นหั่นเต๋า,หมูสามชั่นหั่นเต๋า,KG,,, 200.00 ,,,,N,0,,,,,,,
'10010024,หมูสามชั้นแผ่นมันบางๆ,หมูสามชั้นแผ่นมันบางๆ,KG,,, 200.00 ,,,,N,0,,,,,,,
'10010016,PORK BELLY SLICED,หมูสามชั้น(หั่น),KG,,, 200.00 ,,,,N,0,,,,,,,
'10010001,PORK BELLY,หมูสามชั้น,KG,,, 200.00 ,,,,N,0,,,,,,,
'11020009,SQUID SMALL 21 ตัวขึ้นไป,ปลาหมึกกล้วยเล็กไม่ลอก 21 ตัวขึ้นไป,KG,,, 200.00 ,,,,N,0,,,,,,,
'11000033,ปลาตาเดียวไซส์ใหญ่ (2-3 กก./ตัว)/(38571),ปลาตาเดียวไซส์ใหญ่(2-3 กก./ตัว)/(38571),KG,,, 200.00 ,,,,N,0,,,,,,,
'11000008,SEA BASS CUT,ปลากระพงขาว(หั่นรวมหัว),KG,,, 200.00 ,,,,N,0,,,,,,,
'10010017,PORK CARILANG SLICED,ซี่โครงหมูอ่อนสับ,KG,,, 200.00 ,,,,N,0,,,,,,,
'10010002,PORK BONE ( SPRIA ) SLICED,ซี่โครงหมูสับ,KG,,, 200.00 ,,,,N,0,,,,,,,
'11020008,SQUID SLICED,หมึกกล้วยหั่น,KG,,, 210.00 ,,,,N,0,,,,,,,
'11010006,PRAWN WHITE  MEDIUM 60-65 PCS/KG.,กุ้งขาวกลาง 60-65 ตัว/กก.,KG,,, 210.00 ,,,,N,0,,,,,,,
'11010016,PRAWN WHITE  SMALL,กุ้งขาวเล็ก,KG,,, 210.00 ,,,,N,0,,,,,,,
11010019,กุ้งขาวเลี้ยง(สด) 41-50ตัว/กก.แกะไว้หาง(น้ำหนักก่อนแกะ),กุ้งขาวเลี้ยง(สด) 41-50ตัว/กก.แกะไว้หาง(น้ำหนักก่อนแกะ),KG,,, 215.00 ,,,,N,0,,,,,,,
'11040008,เนื้อหอยแครงลวก,เนื้อหอยแครงลวก,KG,,, 215.00 ,,,,N,0,,,,,,,
'11000011,ปลามงตัวสับ(เฉพาะเนื้อ),ปลามงตัวสับ(เฉพาะเนื้อ),KG,,, 220.00 ,,,,N,0,,,,,,,
'11010014,PRAWN WHITE  MEDIUM 45-50 PCS,กุ้งขาวกลาง 45-50 ตัว/กก.,KG,,, 225.00 ,,,,N,0,,,,,,,
'11010013,PRAWN WHITE  FARM 40-45 PCS/KG.,กุ้งขาวเลี้ยงกลาง 40-45 ตัว/กก.,KG,,, 225.00 ,,,,N,0,,,,,,,
'11000010,เนื้อปลาสากแล่,เนื้อปลาสากแล่,KG,,, 235.00 ,,,,N,0,,,,,,,
11010018,กุ้งขาวสด 30-35ตัว/กก.แกะไว้หาง(นน.ก่อนแกะ),กุ้งขาวสด 30-35ตัว/กก.แกะไว้หาง(นน.ก่อนแกะ),KG,,, 245.00 ,,,,N,0,,,,,,,
'11010005,PRAWN WHITE  BIG 30-35 PCS(ขอสดๆ),กุ้งขาวใหญ่เลี้ยงสดๆ 30-35 ตัว/กก.,KG,,, 245.00 ,,,,N,0,,,,,,,
'11000032,ปลากระพงขาวใหญ่แล่,ปลากระพงขาวใหญ่แล่,KG,,, 255.00 ,,,,N,0,,,,,,,
'11020007,SQUID MIDDLE 13-15 ตัว/กก.,หมึกกล้วยกลางไม่ลอก 13-15 ตัว/กก.,KG,,, 260.00 ,,,,N,0,,,,,,,
11020011,หมึกกล้วยใหญ่(ไม่ลอก) 10-12 ตัว/กก.,หมึกกล้วยใหญ่(ไม่ลอก) 10-12 ตัว/กก.,Kg,,, 270.00 ,,,,N,0,,,,,,,
'11010017,กุ้งขาวเล็กแกะเปลือก,กุ้งขาวเล็กแกะเปลือก,KG,,, 275.00 ,,,,N,0,,,,,,,
'11010015,PRAWN WHITE  PEELED 46-55 PCS,กุ้งขาวเด็ดหัวเว้นหางผ่าหลัง 46-55 ตัว/กก.,KG,,, 275.00 ,,,,N,0,,,,,,,
'11000004,GARUPA WHOLE SIZE 1KG.,ปลาเก๋าตัว 1 กก./ตัว,KG,,, 280.00 ,,,,N,0,,,,,,,
11020010,หมึกกล้วยใหญ่(ไม่ลอก) 8-10 ตัว/กก.,หมึกกล้วยใหญ่(ไม่ลอก) 8-10 ตัว/กก.,Kg,,, 285.00 ,,,,N,0,,,,,,,
'11020003,CUTTLE FISH,หมึกหอมกลาง,KG,,, 290.00 ,,,,N,0,,,,,,,
'11020001,CUTTLE FISH LARGE W 3-4 PCS/KG.,หมึกหอมใหญ่ลอก 3-4 ตัว/กก.,KG,,, 300.00 ,,,,N,0,,,,,,,
'11020006,SQUID LARGE 7-8 ตัว/กก.,หมึกกล้วยใหญ่ไม่ลอก 7-8 ตัว/กก.,KG,,, 300.00 ,,,,N,0,,,,,,,
'11010004,RIVER PRAWN 20-25 PCS/KG.,กุ้งแม่น้ำ 20-25 ตัว/กก.,KG,,, 340.00 ,,,,N,0,,,,,,,
17080040,กุ้งขาวแช่แข็งแกะเปลือกไว้หาง 51-60 ตัว/กก,กุ้งขาวแช่แข็งแกะเปลือกไว้หาง 51-60 ตัว/กก.,KG,,, 350.00 ,,,,N,0,,,,,,,
'11020002,SQUID LOLIGO  M & S 3-5 ตัว/กก.,หมึกศอกไม่ลอก 3-5 ตัว/กก.,KG,,, 360.00 ,,,,N,0,,,,,,,
17080035,ปลาแซลมอนนอร์เวย์แช่แข็ง 5-6กก./ตัว,ปลาแซลมอนนอร์เวย์แช่แข็ง 5-6กก./ตัว,KG,,, 360.00 ,,,,N,0,,,,,,,
'11010010,RIVER PRAWN 15-17 PCS,กุ้งแม่น้ำ 15-17 ตัว/กก.,KG,,, 390.00 ,,,,N,0,,,,,,,
'11040002,GREEN SHELL MUSSEL NZ,หอยแมลงภู่นิวซีแลนด์,KG,,, 420.00 ,,,,N,0,,,,,,,
'11010003,RIVER PRAWN 10-15 PCS/KG.,กุ้งแม่น้ำ 10-15 ตัว/กก.,KG,,, 450.00 ,,,,N,0,,,,,,,
'11010009,RIVER PRAWN 10-12 PCS,กุ้งแม่น้ำ 10-12 ตัว/กก.,KG,,, 480.00 ,,,,N,0,,,,,,,
'11010012,ROCK LOBSTER 6-8 PCS,กั้งกระดาน 6-8 ตัว/กก.,KG,,, 485.00 ,,,,N,0,,,,,,,
'11010011,ROCK LOBSTER 4-5 PCS/KG.,กั้งหินใหญ่ 4-5 ตัว/กก.,KG,,, 555.00 ,,,,N,0,,,,,,,
'11000019,FRESH SALMON 4-5 KG,ปลาแซลมอนสด 4-5กก./ตัว,KG,,, 580.00 ,,,,N,0,,,,,,,
'11010008,PHUKET LOBSTER 200-400 GR.,กุ้งมังกร 200-400 กรัม,KG,,, 940.00 ,,,,N,0,,,,,,,
'11010001,PHUKET LOBSTER 400-700G.,กุ้งมังกร 400-700 กรัม,KG,,," 1,150.00 ",,,,N,0,,,,,,,
'11030003,CRAB MEAT AA,เนื้อปูเกรด AA,KG,,," 1,700.00 ",,,,N,0,,,,,,,
