SKU#,Description,Local Description,Unit,Qty From,QtyTo, Quote Price ,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'15000010,TEA CAMOMILE FLOWER DILMAH 1.5G(1x20/BOX),ชาคาโมมายด์ดิลมา 1.5ก(1x20/กล่อง),BOX,,,฿257.01,,,,A,7,,
'15000011,TEA EARL GREY TEA DILMAH 2G.(1X25/BOX),ชาเอิร์ลเกรย์ดิลมา 2ก.(1x25/กล่อง),BOX,,,฿257.01,,,,A,7,,
'15000012,TEA ENGLISH BREAKFAST DILMAH 2G.(1x25/BOX),ชาอิงลิชเบรกฟาสต์ดิลมา 2ก.(1x25/กล่อง),BOX,,,฿257.01,,,,A,7,,
'15000013,TEA JASMINE GREEN TEA DILMAH 2G.(1*25/BOX),ชาจัสมินกรีนทีดิลมา 2ก.(1*25/กล่อง),BOX,,,฿257.01,,,,A,7,,
'15000014,TEA PURE PEPPERMINT DILMAH 1.5G (1x20/BOX),ชาเปปเปอร์มิ้นต์ดิลมา1.5ก.(1x20/กล่อง),BOX,,,฿257.01,,,,A,7,,
'15000015,TEA EARL GREY BLACK TWININGS 2G. (1x25/BOX),ชาเอิร์ลเกรย์ทไวนิงส์ 2ก.(1x25/กล่อง),BOX,,,฿233.64,,,,A,7,,
'15000018,TEA ENGLISH BREAKFAST TEA TWININGS 2G.(1x25/BOX.),TEA ENGLISH BREAKFAST TEA TWININGS 2G.(1x25/BOX),BOX,,,฿233.64,,,,A,7,,
'15000019,GREEN TEA MATCHA KAWAMI KOICHA 100G.,ผงชาเขียวคาวามิโคอิฉะ 100ก.,BAG,,,฿224.30,,,,A,7,,
'15000023,MATCHA GREEN TEA POWDER KAWAMI 100G.,ผงชาเขียวมัทฉะคาวามิ 100ก.,BAG,,,฿191.59,,,,A,7,,
'15010001,ALMOND WHOLE 1 KG. (818285),อัลม่อลเม็ด 1 กก. (818285),KG,,,฿355.14,,,,A,7,,
'15010014,CASHEWNUT HALF,เม็ดมะม่วงหิมพานต์อบซีก,BAG,,,฿182.24,,,,A,7,,
'15010018,CHERRIES STEM MARASCHINO OLIVIA 737G.(823133),เชอร์รี่ก้านมาราสชิโนโอลิเวีย 737ก.(823133),BTL,,,฿327.10,,,,A,7,,
'15010019,CHERRY IN SYRUP S&W 750G.(184150),เชอร์รี่แดงมีก้านในน้ำเชื่อม S&W 750ก.(184150),BTL,,,฿317.76,,,,A,7,,
'15010106,CORN SUGAR SURUB,แบะแซะใส,KG,,,฿79.44,,,,A,7,,
'15020013,มะพร้าวฝอยอบแห้งขนาดเล็ก 1 กก.(215032),มะพร้าวฝอยอบแห้งขนาดเล็ก 1 กก.(215032),BAG,,,฿266.36,,,,A,7,,
'15050002,FLOUR KITE 1KG.( 1x10 )/(184647),แป้งสาลี ตราว่าว 1 กก.( 1x10 )/(184647),KG,,,฿34.58,,,,A,7,,
'15050003,FLOUR RICE ERAWAN 1KG.(183877),แป้งข้าวเจ้า ช้างสามเศียร 1 กก.(183877),KG,,,฿33.64,,,,A,7,,
'15050010,FLOUR BUA DAENG 22.5 KG.(184666),แป้งบัวแดง 22.5 กก.(184666),SACK,,,฿967.29,,,,A,7,,
'15050011,FLOUR CAKE 22.5 KG./ SACK (184671),แป้งเค้กพัดโบก  22.5 KG./กระสอบ(184671),SACK,,,฿988.32,,,,A,7,,
'15050012,FLOUR CAMPAILLETTE DES CHAMPS T65 25KG.,แป้งสาลีฝรั่งเศส T65 25กก./กระสอบ,SACK,,,"฿1,728.97",,,,A,7,,
'15050022,FLOUR STICKY RICE 1KG.,แป้งข้าวเหนียว ช้างสามเศียร 1 กก.,KG,,,฿44.86,,,,A,7,,
'15050023,FLOUR WHEAT T55 (25 KG/SACK),แป้งสาลีอเนกประสงค์ T55 (25 กก/กระสอบ),SACK,,,"฿1,574.77",,,,A,7,,
'15050024,FLOUR WHEAT UFM RED LOTUS 1 KG. (1x10) (184651),แป้งเค้ก ตราบัวแดง 1 กก.(1x10)/(184651),KG,,,฿42.06,,,,A,7,,
'15050026,แป้งกวนไส้ ตราดาว 500 กรัม. (847900),แป้งกวนไส้ ตราดาว 500ก.(847900),BAG,,,฿22.43,,,,A,7,,
'15080001,BAKING SODA MCGARRETT 1KG.(830864),เบคกิ้งโซดา แม็กกาแรต 1 กก.(830864),BAG,,,฿79.44,,,,A,7,,
'15080002,BAKING SODA MCGARRETT 300G.(184247),เบคกิ้งโซดา แม็กกาแรต 300ก.(184247),BAG,,,฿28.04,,,,A,7,,
'15080009,POWDER COCOA DUTCH 380/400G.(137874),ผงโกโก้ดัทช์ 475ก.(137874),CAN,,,฿266.36,,,,A,7,,
'15080010,POWDER PEARL AA MERMAID 50G.(1x2)/(859017),ผงวุ้นซองสีเขียว ตรานางเงือก 50ก.(1x2)/(859017),PCS,,,฿168.22,,,,A,7,,
'15080015,BARRY COCOA POWDER EXTRA BRUTE 1KG.,BARRY COCOA POWDER EXTRA BRUTE 1KG.,KG,,,฿514.02,,,,A,7,,
'15080016,BREAD PROVER KS505 IMPERIAL 1KG.,สารเสริม KS505 อิมพีเรียล 1 กก.,BAG,,,฿140.19,,,,A,7,,
'15080019,CACAO BARRY WHITE CHOC ZEHYR 34% PISTLO 500 G.,CACAO BARRY WHITE CHOC ZEHYR 34% PISTLO 500G.,BAG,,,฿462.62,,,,A,7,,
'15080028,COCOA POWDER PLEIN AROME BARRY #2 1 KG.,ผงโกโก้แบรี่ Plein Arome#2 1 กก.,KG,,,฿514.02,,,,A,7,,
'15080029,COCOA POWDER TULIP 500 G. (844709),ผงโกโก้สีเข้ม ทิวลิป 500ก.(844709),BAG,,,฿116.82,,,,A,7,,
'15080031,COLOUR FOOD ORANGE WINNER 16 OZ.,สีผสมอาหาร-สีส้มวินเนอร์ 16OZ.,BTL,,,฿98.13,,,,A,7,,
'15080032,COLOUR FOOD RED WINNER 1OZ.,สีผสมอาหาร-สีแดงวินเนอร์ 1OZ.,BTL,,,฿98.13,,,,A,7,,
'15080033,COLOUR FOOD RED WINNER 454ML.,สีผสมอาหาร-สีแดงสดวินเนอร์  454ML.,BTL,,,฿98.13,,,,A,7,,
'15080034,COLOUR FOOD YELLOW  WINNER 16OZ.,สีผสมอาหาร-สีเหลืองวินเนอร์ 16OZ.,BTL,,,฿98.13,,,,A,7,,
'15080039,DARK CHOCOLATE 70% COCAO BERRY 5KG.,DARK CHOCOLATE 70% COCAO BERRY 5KG.,BAG,,,"฿2,757.01",,,,A,7,,
'15080040,DARK CHOCOLATE CHIPS BAKE MASTER 1KG.,ดาร์คช็อกโกแลตชิพส์ 1 กก.,KG,,,฿420.56,,,,A,7,,
'15080041,DARK CHOCOLATE COCAO BERRY 58%  5KG./BAG,ดาร์กช็อกโกแลต 58% ยี่ห้อ COCAO BERRY 5กก./ถุง,BAG,,,"฿2,196.26",,,,A,7,,
'15080042,DARK CHOCOLATE COMPOUND TULIP 1KG.(183151),ดาร์คช็อคโกแลตคอมพาวด์แท่ง ทิวลิป 1กก.(183151),KG,,,฿172.90,,,,A,7,,
'15080043,DARK CHOCOLATE CRISPEARLS MONA LISA 800G.,DARK CHOCOLATE CRISPEARLS MONA LISA 800G.,BAG,,,฿663.55,,,,A,7,,
'15080048,FOOD COLOR SPRAY SILVER 10G.,สเปรย์พ่นอาหาร-สีเงิน 10ก.,BTL,,,฿369.16,,,,A,7,,
'15080050,ISIGNY BUTTER SHEET AOP 1KG.,ISIGNY BUTTER SHEET AOP 1KG.,KG,,,฿771.03,,,,A,7,,
'15080063,STRAWBERRY WINNER 16OZ.,กลิ่นสตรอเบอรรี่ตราวินเนอร์ 16 OZ.,BTL,,,฿163.55,,,,A,7,,
'15080064,VANILLA BEAN STICK MADAGASCAR 15-17 CM.,วนิลาฝักมาดากัสการ์ 15-17 ซม.,PCS,,,฿158.88,,,,A,7,,
'15080065,WHITE CHOCOLATE TULIP 1 KG. (184089),ไวท์ช็อคโกแล็ตขาวแบบแท่ง ทิวลิป 1 กก.(184089),KG,,,฿182.24,,,,A,7,,
'15080067,YEAST DRIED INSTANT BRUGGEMAN BROWN 500G.(125585),ยีสต์รสหวานบรักกี้มานสีน้ำตาล 500ก.(125585),BOX,,,฿107.48,,,,A,7,,
'15080069,สารแต่งกลิ่น-กลิ่นชาเขียววินเนอร์ขนาด 454ก.,สารแต่งกลิ่น-กลิ่นชาเขียววินเนอร์ขนาด 454ก.,BTL,,,฿163.55,,,,A,7,,
'15080070,สารแต่งกลิ่น-กลิ่นนมเนยครีมวินเนอร์ 454ก.,สารแต่งกลิ่น-กลิ่นนมเนยครีมวินเนอร์ 454ก.,BTL,,,฿163.55,,,,A,7,,
'15080071,สารแต่งกลิ่น-กลิ่นวนิลาวินเนอร์ 454ก.,สารแต่งกลิ่น-กลิ่นวนิลาวินเนอร์ 454ก.,BTL,,,฿163.55,,,,A,7,,
'15080072,สารเสริม SP UFM 1 KG.,สารเสริม SP UFM 1 KG.,KG,,,฿144.86,,,,A,7,,
'15080073,สีเจลผสมอาหาร สีแดง วินเนอร์ 30 มล.,สีเจลผสมอาหาร-สีแดงวินเนอร์ 30 มล.,BTL,,,฿70.09,,,,A,7,,
'15080074,สีเจลผสมอาหาร สีขาว เจลวิลตัน 28.30 ก.,สีเจลผสมอาหาร-สีขาวเจลวิลตัน 28.30ก.,BTL,,,฿70.09,,,,A,7,,
'15080075,สีเจลผสมอาหาร สีม่วง วินเนอร์ 30 มล.,สีเจลผสมอาหาร-สีม่วงวินเนอร์ 30 มล.,BTL,,,฿70.09,,,,A,7,,
'15080076,สีเจลผสมอาหารขนาด 28.35 กรัม.,สีเจลผสมอาหารขนาด 28.35 กรัม.,BTL,,,฿70.09,,,,A,7,,
'15080077,สีผงช็อกโกแลต 10 กรัม,สีผงช็อกโกแลต 8 กรัม,BTL,,,฿70.09,,,,A,7,,
'15090001,BROWN SUGAR GROUND (เฉาก๊วย) 1KG.,น้ำตาลทรายแดงละเอียดมิตรผล(เฉาก๊วย) 1 กก.,BAG,,,฿42.06,,,,A,7,,
'15090005,NATURAL SUGAR MITR PHOL 1KG. (1x5)/(900501),น้ำตาลอ้อยธรรมชาติ(แดง)มิตรผล 1 กก.(1x5)/(900501),KG,,,฿23.36,,,,A,7,,
'15090007,SUGAR PURE REFINED MITR PHOL 1 KG. (1x5) (230449),น้ำตาลทรายขาวบริสุทธิ์ มิตรผล 1 กก.(1x5)/(230449),KG,,,฿22.43,,,,A,7,,
'15090018,ICING SUGAR LIN 900 G. (202995),น้ำตาลไอซ์ซิ่งลิน 900ก.(202995),BAG,,,฿39.25,,,,A,7,,
'15090019,NATURAL SUGAR MITR PHOL 500G.(1x12)/(230445),น้ำตาลอ้อยธรรมชาติ(แดง)มิตรผล 500ก.(1x12)/(230445),BAG,,,฿23.36,,,,A,7,,
'15090029,SUGAR SPRINKLES CIRCLE MIXED SIZE WHITE COLOR 100G,น้ำตาลตกแต่งเค้ก-เม็ดสีขาวมุกคละขนาด 100ก.,PCS,,,฿88.79,,,,A,7,,
'15090030,SUGAR SPRINKLES CIRCLE SMILL SILVER COLOR 4MM 100G,น้ำตาลตกแต่งเค้ก-เม็ดสีเงินเม็ดเล็ก 4 มล. 100ก.,PCS,,,฿172.90,,,,A,7,,
'15090031,SUGAR SPRINKLES MIXED PINK COLOR 85 G.,น้ำตาลตกแต่งเค้ก-ผสมรูปแบบโทนสีชมพู 85ก.,BAG,,,฿88.79,,,,A,7,,
'15120004,COCONUT CREAM A-ROI-DEE 1L.(1x2)/(171607),น้ำกะทิ อร่อยดี 1ล.(1x2)/(171607),BOX,,,฿79.44,,,,A,7,,
'15120005,COCONUT CREAM AROY-D 250ML.(1x6)/(147234),น้ำกะทิ อร่อยดี 250 มล.(1x6)/(147234),PACK,,,฿28.04,,,,A,7,,
